page_id,title,revision_id,page_length,article_quality_prediction
76156762,Pedro Mutinde,1209539718,4028,Start
59124349,Pedro Pedalé,1115715527,795,Stub
70373806,Pinda Simão,1118804168,2403,Stub
4553552,Randolph Beazer,1247631912,1891,Stub
76157000,Rosa Luís de Sousa Micolo,1246271741,1244,Stub
59124543,Santana André Pitra,1165626399,1512,Stub
76496943,Saíde Mingas,1251004422,17845,GA
39196935,Studiation Brown,825090349,1302,Stub
77426307,Alex Browne (politician),1247631794,1112,Stub
56554702,Alincia Williams-Grant,1241592542,4804,Start
33664981,Antonio Bermejo,1225811362,3544,Start
6073785,Antonio Beruti,1243926512,4689,Start
32457882,Bernard Percival,1241564686,874,Stub
77554952,Caleb Gardiner,1241563135,1432,Stub
70458059,Cheryl Mary Clare Hurst,1242813942,3059,Stub
70459566,Colin O'Neil Browne,1241563118,1667,Stub
77426320,David Massiah,1247632248,1118,Stub
77426402,Dwayne George,1247631631,1819,Stub
70457778,Edmond Mansoor,1248648606,4727,Start
77426334,Fabian Jones,1247632282,1231,Stub
70464491,Gail Christian,1241563122,5215,Start
76609711,Germán Alfaro,1223272051,7600,C
1370238,Harold Lovell,1241564680,5590,Start
9284882,Héctor Bidonde,1250713562,5691,Start
75306515,Jamale Pringle,1241592215,1422,Stub
395065,James Carlisle,1242152285,6343,C
69840005,Joanne Massiah,1241592526,3314,Stub
59327216,Joaquín Belgrano,1229623675,5317,Start
34245516,Joaquín Samuel de Anchorena,1227458965,6706,Start
77426296,Johnathan Joseph (politician),1241563151,1573,Stub
34244737,Juan Agustín Augier,1217815148,422,Stub
75877571,Juan Alemann,1227499891,2172,Stub
77067103,Kelvin Simon,1241592202,5411,Start
77426354,Kiz Johnson,1247632301,1340,Stub
77328102,Knacyntar Nedd,1247514093,2145,Stub
77426752,Mackenzie Frank,1247632329,2005,Stub
76610410,Marco Aurelio Avellaneda,1233010330,6933,Start
66270219,Melford Nicholas,1241592535,2415,Start
70457407,Osbert Richard Frederick,1241563130,3858,Start
77328024,Philip Shoul,1247632342,1240,Stub
77426239,Rawdon Turner,1247632346,1085,Stub
71834725,Rick James (actor),1213836084,5835,C
77426276,Shawn Nicholas,1247632364,1470,Stub
75227572,Shenella Mary Shadida Govia,1241563138,1774,Stub
34237682,Silvano Bores,1225775647,543,Stub
1706347,Tim Hector,1227026341,8227,C
33983813,Uladislao Augier,1217815124,777,Stub
866767,Wilfred Jacobs,1246340247,3667,Stub
36172495,William Haynes-Smith,1250666577,11124,C
34245468,Alberto Manuel Campos,1166331326,3403,Start
30075886,Alejo Castex,1231276700,10333,C
71194197,Alfredo Olmedo,1226445117,1694,Stub
42602703,Andrés Larroque,1248572448,6847,Start
63021574,Carlos Corach,1227620960,1309,Stub
66679031,Carlos Kunkel,1225799546,1342,Stub
72175365,Carlos de la Rosa,1209668330,3252,Stub
37675541,Dámaso Centeno,1245130520,1765,Stub
49155928,Exequiel Bustillo,1188044851,3828,Start
53925600,Federico Helguera,1162056054,3344,Start
64207179,Fernando Iglesias (Argentine politician),1217866134,11727,C
59875492,Fernando Nadra,1238199017,41481,C
75650879,Guillermo Francos,1245178482,7515,Start
48718026,Guillermo Montenegro,1096175549,1742,Stub
57444909,Héctor Toty Flores,1067754685,1666,Stub
68921848,Jorge Coscia,1227459720,2489,Stub
68279846,Juan Carlos Del Bello,1225784914,1707,Stub
35019444,Juan Fugl,1148828249,2707,Stub
62063026,Juan José Gómez Centurión,1225793565,2157,Stub
50311956,Juan Mignaburu,1166892817,3764,Stub
34238187,Julián de Leyva,1234698824,787,Stub
63411508,Lucio Victorio Mansilla,1210433646,9136,Start
33775919,Luis Carlos Gómez Centurión,1225793589,550,Stub
34269206,Luis L. Domínguez,1234469779,8905,C
76905059,Lázaro Chiappe,1232135530,2021,Stub
34116308,Manuel José García,1227616001,1649,Stub
60735110,Marcelo Muniagurria,1242262794,3348,Start
2646684,Mariano Moreno,1248788227,81967,FA
65315071,Mario Cafiero,1135193654,749,Stub
62520482,Martín Guzmán,1227515965,9977,C
75510988,Martín Menem,1247590161,12472,Start
64796030,Miguel Ángel Pesce,1211044406,5045,Start
24435828,Máximo Etchecopar,1243279888,4995,Start
33618474,Mónica López (politician),797826672,1417,Stub
67425992,Nicolás Massot,1222899462,4766,Start
34227726,Norberto La Porta,1225799869,1984,Stub
59157871,Ricardo Kennedy,1240898573,3441,Stub
74226514,Rossana Chahla,1227517224,13949,C
30408343,Rómulo Sebastián Naón,1193099129,4920,Start
68384265,Santiago G. O'Farrell,1228141029,4113,Start
34245355,Santiago Gallo,1039135531,2030,Start
11037532,Abel Posse,1245068036,38432,C
65165279,Aldo Pignanelli,1106856167,788,Stub
13969711,Alejo Peyret,1138003698,23785,B
37614763,Amán Rawson,1226040049,5363,Start
38182964,Andrias Ghukasyan,1214660728,4486,Start
38935009,Aram Grigoryan (politician),1214660921,2965,Start
43861613,Aram Manukyan,1214661551,3205,Start
43580622,Arístides Villanueva,1227361697,4420,Start
75181739,Ashot Arsenyan,1218601969,6953,C
69622019,Badal Muradyan,1214662146,2853,Start
4711836,Carlos Petroni,1199679676,10248,C
44314693,Claudio Uberti,1245464700,18043,C
61319752,Enrique S. Quintana,1016343362,4965,Start
33570439,Gabriel Noradoungian,1240224564,9480,C
50404059,Garo Paylan,1249622641,24097,C
34177704,Genrikh Poghosyan,1214662694,4074,Start
51382743,Gevorg Ghazaryan (politician),1180063729,1730,Stub
51382725,Gevorg Melik-Karagyozyan,1180063778,1807,Stub
65758698,Gurgen Egiazaryan,1103745376,3279,Start
62954035,Hayk Chobanyan,1231768992,5359,Start
47716578,Hrant Maloyan,1250311867,6022,C
36611677,Héctor Tizón,1222501416,3052,Start
67643004,Ishkhan Saghatelyan,1243510830,10566,GA
5313724,Israel Ori,1214986895,8209,Start
75290900,Jorge Yoma,1191859791,7844,C
43733197,Juan Pablo Schiavi,1195011460,13649,C
74152574,Karen Sargsyan (sociologist),1217803359,7610,Start
17671927,Khachatur Malumian,1210493386,7257,C
42075810,Martiros Sarukhanyan,1214669503,1816,Stub
32035804,Martín Sabbatella,1166890663,10338,C
76521170,Mikayel Kotanyan,1226313476,5060,Start
76744761,Narine Tukhikyan,1233470777,4166,Start
39480125,Parunak Ferukhan,1214660598,2030,Stub
38740149,Paul Paul,1215924661,3330,Start
76520554,Ruben Miroyan,1228290809,3195,Start
52825646,Ruben Mirzakhanyan,1214661775,6008,Start
49890680,Tigran Karapetyan,1231946069,4025,Start
19327926,Tigran Khzmalyan,1237979345,14561,C
76744874,Vahagn Hovakimyan,1224369324,7504,Start
37676127,Vahan Minakhoryan,1214661649,2164,Stub
68921820,Vigen Chitechyan,1124301399,8309,Stub
67603883,Alfons Adam,1244617588,4498,Start
6149096,Andreas Hörtnagl,1215046038,1898,Stub
32850726,Anton Hofer,1215044432,2252,Start
37015016,Citizens' Ministry,1200893975,7286,C
19949832,Count Václav Antonín Chotek of Chotkov and Vojnín,1214682376,3292,Start
2732436,Eduard Hedvicek,1215043825,1674,Stub
76374912,Eduard von Grebmer zu Wolfsthurn,1216075327,5445,Start
63115789,Ernst Hampel (politician),1232067132,1341,Stub
77411982,Franz Dinghofer,1251039794,14982,GA
20006161,Franz Jetzinger,1214236945,4793,Start
38346616,Friedhelm Frischenschlager,1223497595,4730,Start
7719777,Friedrich Wilhelm von Haugwitz,1215043658,11438,C
31313608,George Abraham von Dyhrn,1231555745,890,Stub
4197699,Hans Ferlitsch,1240489075,2318,Stub
36079970,Hans Peter Haselsteiner,1226351964,6755,Start
48931564,Heinrich Alfred Barb,1214670404,2362,Start
70735542,Hermann Stern,1215044008,8056,C
63774722,Hrayr Tovmasyan,1243511026,2105,Stub
4231920,Hubert Klausner,1242810704,7263,Start
4256918,Hugo Jury,1225140706,9303,C
4252669,Ingo Appelt,1244447844,3032,Stub
4825936,Joseph Buttinger,1214670744,6974,Start
32207173,Joseph Kenner,1169137921,2721,Start
39588754,Jürgen Himmelbauer,1215045853,945,Stub
40573188,Kegham Vanigian,1214670011,2533,Start
901939,Konstantin Jireček,1242771327,14103,C
862679,Leopold Berchtold,1228353209,24083,C
26429545,"Maximilian Anton Karl, Count Baillet de Latour",1226152632,3573,Start
60026170,Michael Killisch-Horn,1106829544,510,Stub
41520046,Ohannes Tchekidjian,1215201883,5902,Start
3946756,Prince Carl of Solms-Braunfels,1237091760,14602,C
42869603,Richard von Coudenhove-Kalergi,1243336388,55319,C
54156092,Serop Zakaryan,1222543352,1088,Stub
77186516,Sophia Kircher,1242552103,1647,Stub
8048537,Suren Shadunts,1242146414,5481,Start
39619941,Theodor Kery,1215046740,458,Stub
46179557,Ulrich Habsburg-Lothringen,1216088776,2479,Start
66901795,Usub Bek Temuryan,1243494457,2571,Stub
19929382,Vartkes Serengülian,1214669611,3769,Start
25145889,Walter Guggenberger,1154443829,2811,Start
7919394,Alexander Zach,1215187552,2085,Stub
749702,Anton von Winzor,1231556425,1197,Stub
65342249,Brigitta Pallauf,1215184008,3380,Start
12993060,Christoph Matznetter,1250934182,3807,Start
19358024,Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1243965585,2694,Start
8702718,Elmar Lichtenegger,1215483185,2663,Start
5612787,Emil Sax,1215185845,4431,Start
2503707,Ferdinand Mannlicher,1250188481,11761,C
42225075,Franz Leitner (politician),1215054152,994,Stub
60176601,Franz Moroder,1228417930,5122,C
42418604,"Georg Adam, Prince of Starhemberg",1215186237,11141,C
4429902,Gerhard Pfanzelter,1238011369,4857,Start
68435651,Gisela Wurm,1215187415,1316,Stub
65497736,Gottfried von Kühnelt-Leddihn,1235730032,3371,Start
74627821,Gregor Razumovsky (activist),1236098636,8486,C
49426725,Gundaker Thomas Starhemberg,1246777408,3151,Start
76191109,Heidemaria Onodi,1246630894,3715,Start
23445933,Heinz Nittel,1226214871,2005,Stub
27135394,Horst Rosenkranz,1215185628,3450,Start
38482652,Johann Anton von Pergen,1248404055,12185,C
30639133,Johann Gregor Memhardt,1226209962,2154,Stub
41832717,Josef Staribacher,1215186443,828,Stub
5529040,Julius Lippert (historian),1248432097,2944,Stub
16195728,Julius Tandler,1153989705,4068,Start
25798636,Józef Kożdoń,1215053905,9721,C
13125870,Jürgen Mandl,1215054486,2041,Stub
4999454,Karl Freiherr von Vogelsang,1231556362,5437,Start
44960359,Karl Lütgendorf,1231556108,1172,Stub
50536736,Karl Schmitzer,1215186109,566,Stub
28341664,Karl von Zinzendorf,1240906258,5696,Start
14600677,"Leopold, Count von Thun und Hohenstein",1215186791,5895,C
187247,Leopold Poetsch,1248552155,3212,Start
68477408,Martin Kocher,1241392879,3295,Stub
76198558,Peter Schieder,1239601735,7124,Start
76188791,Peter Strasser (politician),1240951343,4883,Start
77154880,Reinhold Lopatka,1250933660,2215,Stub
69330409,Renate Mann,1099978355,2667,Stub
77177053,Sonja Zwazl,1235856770,3453,Start
28636801,Thomas Prinzhorn,1215185462,6521,C
24165403,Walter Pfrimer,1249288737,7024,C
19746969,Wladimir von Pawlowski,1242446030,1368,Stub
9465756,Abdurrahman Fatalibeyli,1241052691,10912,C
73701173,Afshan Gadimbeyova,1243747432,4318,Start
38404400,Akram Aylisli,1247420701,33645,C
62074177,Ali Asadov,1237483914,7404,C
63443500,Ali Huseynli,1245270394,3102,Start
52606271,Ali Ibrahimov,1244157806,4830,Start
29805797,Ali M. Hasanov,1245282668,9123,C
75545138,Aliabbas Salahzade,1211047878,4416,Start
44931890,Alisahib Huseynov,1246588423,2102,Start
33052057,Alovsat Bakhshiyev,1207738330,3694,Start
71947937,Araz Alizadeh,1246060446,2688,Stub
50559566,Asaf Hajiyev,1235219197,13861,C
76189327,Ashraf Bey Taghiyev,1213943020,2696,Start
76441463,Bakhish bey Rustambeyov,1246060690,4314,Start
75660406,Chimnaz Aslanova,1245503366,4103,Start
10253465,Dilara Aliyeva,1236388140,5415,Start
29360859,Elchin Afandiyev,1243626881,6493,Start
52593010,Enver Alikhanov,1161577254,1846,Stub
66711673,Farhad Hajiyev,1246286594,5607,Start
64212742,Fazail Agamali,1250642641,10637,C
71089676,Fazail Ibrahimli,1243509483,3346,Start
76441761,Garib Karimoğlu,1246060699,2858,Start
76013404,Gudrat Gasanguliev,1234004989,4278,Start
76325547,Haji Molla Ahmad Nuruzade,1239189558,15069,GA
72909644,Hasan Hasanli,1244589428,3074,Start
75801198,Hasan Majidov,1236490430,6934,Start
29447701,Huseyngulu Baghirov,1199215674,4051,Start
76890519,Irshad Aliyev,1225308278,1689,Stub
33064998,Jamil Hasanli,1248447237,15468,C
66505277,Leyla Abdullayeva,1230366514,4422,Start
66066441,Mammad Gurbanov,1237445893,4735,Start
