page_id,title,revision_id,article_quality_prediction,country,population,region
40754760.0,Kostandin Boshnjaku,1250227994.0,C,Albania,2.7,SOUTHERN EUROPE
44712134.0,Kristo Kirka,1237950375.0,C,Albania,2.7,SOUTHERN EUROPE
19887779.0,Kurt Agë Kadiu,1244486529.0,Stub,Albania,2.7,SOUTHERN EUROPE
30069896.0,Mehmed Kalakula,1145510350.0,Stub,Albania,2.7,SOUTHERN EUROPE
27373846.0,Mihal Grameno,1226635783.0,C,Albania,2.7,SOUTHERN EUROPE
15675174.0,Neritan Ceka,1184807608.0,Start,Albania,2.7,SOUTHERN EUROPE
26992194.0,Nexhip Draga,1236738502.0,GA,Albania,2.7,SOUTHERN EUROPE
27166018.0,Niazi Demi,1209346411.0,Stub,Albania,2.7,SOUTHERN EUROPE
32349690.0,Qamil Musa Haxhi Feza,1198224146.0,Stub,Albania,2.7,SOUTHERN EUROPE
28077287.0,Rasih Dino,1180949327.0,Stub,Albania,2.7,SOUTHERN EUROPE
31301973.0,Refo Çapari,1222381064.0,Start,Albania,2.7,SOUTHERN EUROPE
30559670.0,Sabri Godo,1230739582.0,C,Albania,2.7,SOUTHERN EUROPE
28634810.0,Safet Butka,1189442848.0,C,Albania,2.7,SOUTHERN EUROPE
62554029.0,Spartak Braho,1224650124.0,Start,Albania,2.7,SOUTHERN EUROPE
30489046.0,Themistokli Gërmenji,1241037317.0,C,Albania,2.7,SOUTHERN EUROPE
60567913.0,Uran Butka,1196422551.0,Start,Albania,2.7,SOUTHERN EUROPE
19887745.0,Xhelal Koprëncka,1209148780.0,Stub,Albania,2.7,SOUTHERN EUROPE
43393251.0,Ylli Asllani,1221605713.0,Start,Albania,2.7,SOUTHERN EUROPE
61607609.0,Abdyl Ypi,1220281072.0,Stub,Albania,2.7,SOUTHERN EUROPE
5494953.0,Adrian Neritani,1196135017.0,Start,Albania,2.7,SOUTHERN EUROPE
63869149.0,Afrim Tole,1241836925.0,Stub,Albania,2.7,SOUTHERN EUROPE
31509315.0,Artur Kuko,1112281132.0,Stub,Albania,2.7,SOUTHERN EUROPE
68783046.0,Athanas Shundi,1220369492.0,C,Albania,2.7,SOUTHERN EUROPE
14069803.0,Avni Rustemi,1229276965.0,Start,Albania,2.7,SOUTHERN EUROPE
19888020.0,Bedri Pejani,1220757655.0,C,Albania,2.7,SOUTHERN EUROPE
30070258.0,Behxhet Nepravishta,1180949734.0,Stub,Albania,2.7,SOUTHERN EUROPE
9088115.0,Chatin Sarachi,1141930406.0,C,Albania,2.7,SOUTHERN EUROPE
31573475.0,Eduard Shalsi,1173107489.0,Start,Albania,2.7,SOUTHERN EUROPE
10398792.0,Gjon Markagjoni,1227760361.0,C,Albania,2.7,SOUTHERN EUROPE
22352985.0,Hysni Milloshi,1218412314.0,Start,Albania,2.7,SOUTHERN EUROPE
27611512.0,Ibrahim Temo,1228151428.0,GA,Albania,2.7,SOUTHERN EUROPE
41883528.0,Kadri Prishtina,1198167947.0,Start,Albania,2.7,SOUTHERN EUROPE
40795168.0,Kryeziu family,1236739222.0,Start,Albania,2.7,SOUTHERN EUROPE
28382311.0,Mehmet Tahsini,1239924043.0,Stub,Albania,2.7,SOUTHERN EUROPE
55668009.0,Menduh Zavalani,1235824554.0,FA,Albania,2.7,SOUTHERN EUROPE
58108950.0,Musa Qazimi,1235824584.0,GA,Albania,2.7,SOUTHERN EUROPE
32349706.0,Mustafa Ndroqi,1198219291.0,Stub,Albania,2.7,SOUTHERN EUROPE
19887761.0,Nebi Sefa,1244486537.0,Stub,Albania,2.7,SOUTHERN EUROPE
28362818.0,Sabit Lulo,1180950488.0,Stub,Albania,2.7,SOUTHERN EUROPE
33944243.0,Sali Nivica,1240539074.0,Start,Albania,2.7,SOUTHERN EUROPE
19887929.0,Syreja Vlora,1186986269.0,Start,Albania,2.7,SOUTHERN EUROPE
25589553.0,Tefik Mborja,1234673487.0,Start,Albania,2.7,SOUTHERN EUROPE
30250352.0,Thoma Orologa,1180949774.0,Start,Albania,2.7,SOUTHERN EUROPE
31973610.0,Visar Ymeri,1248230838.0,Stub,Albania,2.7,SOUTHERN EUROPE
41653012.0,Visarion Xhuvani,1135323365.0,C,Albania,2.7,SOUTHERN EUROPE
70365511.0,Xhavid Leskoviku,1180950536.0,Start,Albania,2.7,SOUTHERN EUROPE
